k,x_min,y_min,log_height_over_log_k
-2000,105,1075,0.918
-1999,22,93,0.596
-1997,17,54,0.525
-1994,27,133,0.644
-1990,271,4461,1.106
-1988,18,62,0.543
-1980,16,46,0.504
-1978,59,451,0.805
-1972,13,15,0.357
-1971,75,648,0.853
-1966,23,101,0.609
-1964,165,2119,1.01
-1960,14,28,0.44
-1959,19,70,0.56
-1951,26,125,0.637
-1944,70,584,0.841
-1943,24,109,0.62
-1941,13,16,0.366
-1936,25,117,0.629
-1931,15,38,0.481
-1926,151,1855,0.995
-1919,492,10913,1.23
-1916,20,78,0.576
-1913,153,1892,0.999
-1908,13,17,0.375
-1903,14,29,0.446
-1902,31,167,0.678
-1889,29,150,0.664
-1888,17,55,0.531
-1887,16,47,0.51
-1883,627,15700,1.281
-1882,91,867,0.897
-1876,2501,125075,1.557
-1874,2499,124925,1.557
-1873,13,18,0.384
-1867,623,15550,1.281
-1865,21,86,0.591
-1863,18,63,0.55
-1855,46,309,0.762
-1854,15,39,0.487
-1844,14,30,0.452
-1840,41,259,0.739
-1836,13,19,0.392
-1833,277,4610,1.123
-1818,19,71,0.568
-1812,22,94,0.606
-1807,107,1106,0.935
-1799,50,351,0.782
-1797,13,20,0.4
-1792,16,48,0.517
-1788,28,142,0.662
-1783,14,31,0.459
-1777,17,56,0.538
-1775,15,40,0.493
-1763,23,102,0.619
-1762,83,755,0.887
-1759,20,79,0.585
-1756,13,21,0.408
-1755,259,4168,1.116
-1751,135,1568,0.985
-1750,95,925,0.915
-1744,137,1603,0.989
-1736,18,64,0.558
-1735,986,30961,1.386
-1729,2305,110664,1.558
-1728,12,0,0.333
-1727,12,1,0.333
-1724,12,2,0.333
-1720,14,32,0.465
-1719,12,3,0.334
-1713,13,22,0.415
-1712,12,4,0.334
-1703,12,5,0.334
-1701,25,118,0.641
-1700,26,126,0.65
-1695,16,49,0.523
-1694,15,41,0.499
-1692,12,6,0.334
-1679,12,7,0.335
-1675,19,72,0.576
-1668,13,23,0.423
-1666,35,203,0.716
-1665,189,2598,1.06
-1664,12,8,0.335
-1663,44,289,0.764
-1655,14,33,0.472
-1647,12,9,0.335
-1638,79,701,0.885
-1631,60,463,0.83
-1628,12,10,0.336
-1623,22,95,0.616
-1621,13,24,0.43
-1617,301,5222,1.159
-1611,15,42,0.506
-1607,12,11,0.337
-1600,20,80,0.594
-1596,16,50,0.53
-1595,531,12236,1.276
-1591,110,1153,0.956
-1588,14,34,0.478
-1586,2115,97267,1.559
-1584,12,12,0.337
-1579,527,12098,1.276
-1572,13,25,0.437
-1567,31,168,0.696
-1559,12,13,0.349
-1558,23,103,0.63
-1554,67,547,0.858
-1549,17,58,0.553
-1543,182,2455,1.063
-1541,93,896,0.926
-1539,55,406,0.818
-1532,12,14,0.36
-1530,19,73,0.585
-1526,15,43,0.513
-1521,13,26,0.445
-1519,14,35,0.485
-1517,21,88,0.611
-1516,125,1397,0.989
-1512,58,440,0.831
-1511,38,231,0.743
-1503,12,15,0.37
-1502,71,597,0.874
-1500,40,250,0.755
-1495,16,51,0.538
-1479,52,373,0.811
-1478,1359,50099,1.483
-1476,18,66,0.574
-1472,12,16,0.38
-1468,13,27,0.452
-1464,25,119,0.656
-1460,486,10714,1.274
-1458,27,135,0.673
-1457,81,728,0.905
-1453,1937,85250,1.559
-1451,1935,85118,1.559
-1448,14,36,0.492
-1447,26,127,0.666
-1444,482,10582,1.274
-1439,12,17,0.39
-1436,6000,464758,1.795
-1432,17,59,0.561
-1423,47,320,0.794
-1421,53,384,0.82
-1413,13,28,0.459
-1404,12,18,0.399
-1400,30,160,0.701
-1392,16,52,0.546
-1391,90,853,0.932
-1388,117,1265,0.987
-1383,19,74,0.595
-1375,14,37,0.5
-1369,37,222,0.748
-1368,49,341,0.808
-1367,12,19,0.408
-1356,13,29,0.467
-1351,23,104,0.644
-1350,15,45,0.528
-1343,18,67,0.584
-1341,33,186,0.726
-1340,21,89,0.623
-1331,11,0,0.333
-1330,11,1,0.333
-1328,12,20,0.417
-1327,11,2,0.333
-1325,69,572,0.883
-1324,1765,74151,1.56
-1322,11,3,0.334
-1321,41,260,0.774
-1315,11,4,0.334
-1313,17,60,0.57
-1311,370,7117,1.236
-1306,11,5,0.334
-1300,14,38,0.507
-1297,13,30,0.475
-1296,193,2681,1.101
-1295,11,6,0.335
-1287,12,21,0.425
-1285,29,152,0.702
-1282,11,7,0.335
-1280,24,112,0.66
-1279,34,195,0.737
-1276,20,82,0.616
-1271,66,535,0.879
-1267,11,8,0.336
-1264,104,1060,0.975
-1259,15,46,0.536
-1258,1379,51209,1.519
-1250,11,9,0.336
-1244,12,22,0.434
-1239,22,97,0.642
-1238,39,241,0.77
-1236,13,31,0.482
-1234,19,75,0.607
-1231,11,10,0.337
-1230,31,169,0.721
-1225,25,120,0.673
-1223,14,39,0.515
-1222,263,4265,1.176
-1216,28,144,0.7
-1210,11,11,0.338
-1208,18,68,0.595
-1206,495,11013,1.312
-1201,1601,64060,1.561
-1199,12,23,0.442
-1192,17,61,0.58
-1188,42,270,0.791
-1187,11,12,0.351
-1180,16,54,0.564
-1173,13,32,0.49
-1166,15,47,0.545
-1162,11,13,0.363
-1161,21,90,0.638
-1159,62,487,0.877
-1152,12,24,0.451
-1151,210,3043,1.138
-1148,72,610,0.91
-1144,14,40,0.524
-1142,23,105,0.661
-1136,96,940,0.973
-1135,11,14,0.375
-1125,45,300,0.812
-1111,20,83,0.63
-1108,13,33,0.499
-1107,43,280,0.804
-1106,11,15,0.386
-1103,12,25,0.459
-1097,521,11892,1.34
-1096,50,352,0.838
-1091,363,6916,1.264
-1090,131,1499,1.046
-1084,32,178,0.741
-1083,19,76,0.62
-1082,1443,54815,1.562
-1079,30,161,0.728
-1075,11,16,0.397
-1071,15,48,0.555
-1070,111,1169,1.013
-1069,17,62,0.592
-1063,14,41,0.533
-1055,24,113,0.679
-1052,12,26,0.468
-1048,38,232,0.783
-1046,63,499,0.894
-1044,22,98,0.66
-1042,11,17,0.408
-1041,13,34,0.508
-1036,85,783,0.96
-1031,48,331,0.836
-1023,64,511,0.9
-1017,537,12444,1.362
-1015,5714,431927,1.874
-1007,11,18,0.418
-1000,10,0,0.333
-999,10,1,0.333
-996,10,2,0.334
-991,10,3,0.334
-984,10,4,0.334
